,hora,X,0,1,2,3,4,5,6,7
289,13,8,NA,NA,NA,8,NA,NA,NA,NA
290,15.3,189,NA,NA,NA,189,NA,NA,NA,NA
291,15.4,217,NA,NA,NA,217,NA,NA,NA,NA
292,15.5,349,NA,NA,NA,349,NA,NA,NA,NA
293,16,360,NA,NA,NA,360,NA,NA,NA,NA
294,16.1,53,NA,NA,NA,53,NA,NA,NA,NA
295,16.2,382,NA,NA,NA,382,NA,NA,NA,NA
296,16.3,149,NA,NA,NA,149,NA,NA,NA,NA
297,16.4,339,NA,NA,NA,339,NA,NA,NA,NA
298,16.5,111,NA,NA,NA,111,NA,NA,NA,NA
299,17,1,NA,NA,NA,1,NA,NA,NA,NA
300,17.1,377,NA,NA,NA,377,NA,NA,NA,NA
301,17.2,7,NA,NA,NA,7,NA,NA,NA,NA
302,17.3,9,NA,NA,NA,9,NA,NA,NA,NA
303,17.4,11,NA,NA,NA,11,NA,NA,NA,NA
304,17.5,106,NA,NA,NA,106,NA,NA,NA,NA
305,18,433,NA,NA,NA,433,NA,NA,NA,NA
306,18.1,169,NA,NA,NA,169,NA,NA,NA,NA
307,18.2,435,NA,NA,NA,435,NA,NA,NA,NA
308,18.3,288,NA,NA,NA,288,NA,NA,NA,NA
309,18.4,326,NA,NA,NA,326,NA,NA,NA,NA
310,18.5,473,NA,NA,NA,473,NA,NA,NA,NA
311,19,320,NA,NA,NA,320,NA,NA,NA,NA
312,19.1,398,NA,NA,NA,398,NA,NA,NA,NA
313,19.2,16,NA,NA,NA,16,NA,NA,NA,NA
314,19.3,359,NA,NA,NA,359,NA,NA,NA,NA
315,19.4,240,NA,NA,NA,240,NA,NA,NA,NA
316,19.5,335,NA,NA,NA,335,NA,NA,NA,NA
317,20,514,NA,NA,NA,514,NA,NA,NA,NA
318,20.1,10,NA,NA,NA,10,NA,NA,NA,NA
319,20.2,52,NA,NA,NA,52,NA,NA,NA,NA
320,21.1,0,NA,NA,NA,0,NA,0,NA,NA
321,21.4,0,NA,NA,NA,0,0,0,NA,NA
322,21.5,25,NA,NA,NA,25,NA,NA,NA,NA
323,22,349,NA,NA,NA,349,NA,NA,NA,NA
324,22.1,22,NA,NA,NA,22,NA,NA,NA,NA
325,22.2,228,NA,NA,NA,228,NA,NA,NA,NA
326,22.3,320,NA,NA,NA,320,NA,NA,NA,NA
327,22.4,78,NA,NA,NA,78,NA,NA,NA,NA
328,22.5,113,NA,NA,NA,113,NA,NA,NA,NA
329,23,291,NA,NA,NA,291,NA,NA,NA,NA
330,23.1,311,NA,NA,NA,311,NA,NA,NA,NA
331,23.2,408,NA,NA,NA,408,NA,NA,NA,NA
332,23.3,134,NA,NA,NA,134,NA,NA,NA,NA
333,23.4,1,NA,NA,NA,1,NA,NA,NA,NA
334,0,328,NA,NA,NA,NA,328,NA,NA,NA
335,0.1,228,NA,NA,NA,NA,228,NA,NA,NA
336,0.2,483,NA,NA,NA,NA,483,NA,NA,NA
337,0.3,288,NA,NA,NA,NA,288,NA,NA,NA
338,0.4,139,NA,NA,NA,NA,139,NA,NA,NA
339,1,6,NA,NA,NA,NA,6,NA,NA,6
340,1.1,0,NA,NA,NA,NA,0,0,NA,NA
341,2.2,0,NA,NA,NA,NA,0,0,NA,NA
342,4.3,1,NA,NA,NA,NA,1,NA,NA,NA
343,4.4,2,NA,NA,NA,NA,2,NA,NA,NA
344,4.5,32,NA,NA,NA,NA,32,NA,NA,NA
345,5,18,NA,NA,NA,NA,18,NA,NA,NA
346,5.3,11,NA,NA,NA,NA,11,NA,NA,NA
347,5.4,198,NA,NA,NA,NA,198,NA,NA,NA
348,6,1,NA,NA,NA,NA,1,NA,NA,NA
349,7.5,1,NA,NA,NA,NA,1,NA,NA,NA
