Registro empezado el 2023/1/3 a las 14:7,,,,,,,,
Hora,Canal1,,,,,,,
04:40,,,,,,0,,
04:50,,,,,,0,,
05:00,,,,,,0,,
05:10,,,,,,0,,
05:20,,,,,,0,,
05:30,,,,,,0,,
05:40,,,,,,0,,
05:50,,,,,,0,,
06:00,,,,,,0,,
06:10,,,,,,0,,
06:20,,,,,,0,,
06:30,,,,,,1,,
06:40,,,,,,2,,
06:50,,,,,,3,,
07:00,,,,,,0,,
07:10,,,,,,0,,
07:20,,,,,,0,,
07:30,,,,,,0,,
07:40,,,,,,0,,
07:50,,,,,,0,,
08:00,,,,,,0,,
08:10,,,,,,0,,
08:20,,,,,,0,,
08:30,,,,,,0,,
08:40,,,,,,0,,
08:50,,,,,,0,,
09:00,,,,,,0,,
09:10,,,,,,0,,
09:20,,,,,,0,,
09:30,,,,,,0,,
09:40,,,,,,0,,
09:50,,,,,,0,,
10:00,,,,,,0,,
10:10,,,,,,0,,
10:20,,,,,,0,,
10:30,,,,,,0,,
10:40,,,,,,0,,
10:50,,,,,,0,,
11:00,,,,,,0,,
11:10,,,,,,0,,
11:20,,,,,,0,,
11:30,,,,,,0,,
11:40,,,,,,0,,
11:50,,,,,,0,,
12:00,,,,,,0,,
12:10,,,,,,0,,
12:20,,,,,,0,,
12:30,,,,,,0,,
12:40,,,,,,0,,
12:50,,,,,,0,,
13:00,,,,,,0,,
13:10,,,,,,0,,
13:20,,,,,,0,,
13:30,,,,,,0,,
13:40,,,,,,0,,
13:50,,,,,,0,,
14:00,,,,,,0,,
14:10,,,,,,0,,
14:20,,,,,,0,,
14:30,,,,,,0,,
14:40,,,,,,0,,
14:50,,,,,,0,,
15:00,,,,,,0,,
15:10,,,,,,0,,
15:20,,,,,,0,,
15:30,,,,,,0,,
15:40,,,,,,0,,
15:50,,,,,,76,,
16:00,,,,,,38,,
16:10,,,,,,237,,
16:20,,,,,,85,,
16:30,,,,,,29,,
16:40,,,,,,190,,
16:50,,,,,,210,,
17:00,,,,,,188,,
17:10,,,,,,82,,
17:20,,,,,,351,,
17:30,,,,,,207,,
17:40,,,,,,105,,
17:50,,,,,,69,,
18:00,,,,,,268,,
18:10,,,,,,231,,
18:20,,,,,,120,,
18:30,,,,,,7,,
18:40,,,,,,0,,
18:50,,,,,,322,,
19:00,,,,,,75,,
19:10,,,,,,164,,
19:20,,,,,,45,,
19:30,,,,,,5,,
19:40,,,,,,17,,
19:50,,,,,,214,,
20:00,,,,,,0,,
20:10,,,,,,233,,
20:20,,,,,,1,,
20:30,,,,,,0,,
20:40,,,,,,0,,
20:50,,,,,,51,,
21:00,,,,,,13,,
21:10,,,,,,0,,
21:20,,,,,,0,,
21:30,,,,,,0,,
21:40,,,,,,0,,
21:50,,,,,,0,,
22:00,,,,,,0,,
22:10,,,,,,7,,
22:20,,,,,,0,,
22:30,,,,,,0,,
22:40,,,,,,0,,
22:50,,,,,,0,,
23:00,,,,,,1,,
23:10,,,,,,2,,
23:20,,,,,,337,,
23:30,,,,,,106,,
23:40,,,,,,98,,
23:50,,,,,,98,,
00:00,,,,,,,26,
00:10,,,,,,,0,
00:20,,,,,,,6,
00:30,,,,,,,5,
00:40,,,,,,,2,
00:50,,,,,,,1,
01:00,,,,,,,13,
01:10,,,,,,,300,
01:20,,,,,,,116,
01:30,,,,,,,355,
01:40,,,,,,,316,
01:50,,,,,,,105,
02:00,,,,,,,165,
02:10,,,,,,,0,
02:20,,,,,,,2,
02:30,,,,,,,0,
02:40,,,,,,,0,
02:50,,,,,,,0,
03:00,,,,,,,0,
03:10,,,,,,,0,
03:20,,,,,,,0,
03:30,,,,,,,0,
03:40,,,,,,,0,
03:50,,,,,,,0,
04:00,,,,,,,0,
04:10,,,,,,,0,
04:20,,,,,,,0,
04:30,,,,,,,0,
04:40,,,,,,,0,
04:50,,,,,,,0,
05:00,,,,,,,0,
05:10,,,,,,,0,
05:20,,,,,,,0,
05:30,,,,,,,0,
05:40,,,,,,,0,
05:50,,,,,,,0,
06:00,,,,,,,0,
06:10,,,,,,,0,
06:20,,,,,,,0,
06:30,,,,,,,0,
06:40,,,,,,,0,
06:50,,,,,,,0,
07:00,,,,,,,0,
07:10,,,,,,,0,
07:20,,,,,,,0,
07:30,,,,,,,0,
07:40,,,,,,,0,
07:50,,,,,,,0,
08:00,,,,,,,0,
08:10,,,,,,,0,
08:20,,,,,,,0,
08:30,,,,,,,0,
08:40,,,,,,,0,
08:50,,,,,,,0,
09:00,,,,,,,0,
09:10,,,,,,,0,
09:20,,,,,,,0,
09:30,,,,,,,0,
09:40,,,,,,,0,
09:50,,,,,,,0,
10:00,,,,,,,0,
10:10,,,,,,,0,
10:20,,,,,,,0,
10:30,,,,,,,0,
10:40,,,,,,,0,
10:50,,,,,,,0,
11:00,,,,,,,0,
11:10,,,,,,,0,
11:20,,,,,,,0,
11:30,,,,,,,0,
11:40,,,,,,,0,
11:50,,,,,,,0,
12:00,,,,,,,0,
12:10,,,,,,,0,
12:20,,,,,,,0,
12:30,,,,,,,0,
12:40,,,,,,,32,
12:50,,,,,,,2,
13:00,,,,,,,0,
13:10,,,,,,,211,
13:20,,,,,,,237,
13:30,,,,,,,244,
13:40,,,,,,,250,
13:50,,,,,,,3,
14:00,,,,,,,0,
14:10,,,,,,,0,
14:20,,,,,,,0,
14:30,,,,,,,0,
14:40,,,,,,,0,
14:50,,,,,,,0,
15:00,,,,,,,0,
15:10,,,,,,,0,
15:20,,,,,,,0,
15:30,,,,,,,0,
15:40,,,,,,,0,
15:50,,,,,,,0,
16:00,,,,,,,0,
16:10,,,,,,,51,
16:20,,,,,,,0,
16:30,,,,,,,359,
16:40,,,,,,,288,
16:50,,,,,,,181,
17:00,,,,,,,0,
17:10,,,,,,,275,
17:20,,,,,,,163,
17:30,,,,,,,148,
17:40,,,,,,,436,
17:50,,,,,,,198,
18:00,,,,,,,4,
18:10,,,,,,,7,
18:20,,,,,,,2,
18:30,,,,,,,1,
18:40,,,,,,,39,
18:50,,,,,,,46,
19:00,,,,,,,43,
19:10,,,,,,,2,
19:20,,,,,,,5,
19:30,,,,,,,2,
19:40,,,,,,,0,
19:50,,,,,,,165,
20:00,,,,,,,0,
20:10,,,,,,,398,
20:20,,,,,,,3,
20:30,,,,,,,35,
20:40,,,,,,,1,
20:50,,,,,,,181,
21:00,,,,,,,356,
21:10,,,,,,,149,
21:20,,,,,,,333,
21:30,,,,,,,31,
21:40,,,,,,,27,
21:50,,,,,,,0,
22:00,,,,,,,0,
22:10,,,,,,,0,
22:20,,,,,,,0,
22:30,,,,,,,0,
22:40,,,,,,,0,
22:50,,,,,,,0,
23:00,,,,,,,0,
23:10,,,,,,,0,
23:20,,,,,,,5,
23:30,,,,,,,22,
23:40,,,,,,,5,
23:50,,,,,,,0,
00:00,,,,,,,,0
00:10,,,,,,,,78
00:20,,,,,,,,135
00:30,,,,,,,,143
00:40,,,,,,,,100
00:50,,,,,,,,17
01:00,,,,,,,,6
01:10,,,,,,,,24
01:20,,,,,,,,3
01:30,,,,,,,,0
01:40,,,,,,,,85
01:50,,,,,,,,218
02:00,,,,,,,,62
02:10,,,,,,,,122
02:20,,,,,,,,166
02:30,,,,,,,,13
02:40,,,,,,,,41
02:50,,,,,,,,15
03:00,,,,,,,,12
03:10,,,,,,,,0
03:20,,,,,,,,0
03:30,,,,,,,,0
03:40,,,,,,,,0
03:50,,,,,,,,0
04:00,,,,,,,,0
04:10,,,,,,,,0
04:20,,,,,,,,0
04:30,,,,,,,,0
04:40,,,,,,,,0
04:50,,,,,,,,56
05:00,,,,,,,,763
05:10,,,,,,,,0
05:20,,,,,,,,0
05:30,,,,,,,,0
05:40,,,,,,,,0
05:50,,,,,,,,0
06:00,,,,,,,,0
06:10,,,,,,,,0
06:20,,,,,,,,0
06:30,,,,,,,,0
06:40,,,,,,,,0
06:50,,,,,,,,0
07:00,,,,,,,,0
07:10,,,,,,,,0
07:20,,,,,,,,0
07:30,,,,,,,,0
07:40,,,,,,,,0
07:50,,,,,,,,0
08:00,,,,,,,,0
08:10,,,,,,,,0
08:20,,,,,,,,0
08:30,,,,,,,,0
08:40,,,,,,,,1
08:50,,,,,,,,0
09:00,,,,,,,,0
09:10,,,,,,,,0
09:20,,,,,,,,0
09:30,,,,,,,,0
09:40,,,,,,,,0
09:50,,,,,,,,0
10:00,,,,,,,,0
10:10,,,,,,,,0
10:20,,,,,,,,0
10:30,,,,,,,,0
10:40,,,,,,,,0
10:50,,,,,,,,0
11:00,,,,,,,,0
11:10,,,,,,,,0
11:20,,,,,,,,0
11:30,,,,,,,,0
11:40,,,,,,,,0
11:50,,,,,,,,0
12:00,,,,,,,,0
12:10,,,,,,,,0
12:20,,,,,,,,0
12:30,,,,,,,,0
12:40,,,,,,,,2
12:50,,,,,,,,0
13:00,,,,,,,,0
13:10,,,,,,,,0
13:20,,,,,,,,0
13:30,,,,,,,,0
13:40,,,,,,,,0
13:50,,,,,,,,0
14:00,,,,,,,,0
14:10,,,,,,,,0
14:20,,,,,,,,0
14:30,,,,,,,,0
14:40,,,,,,,,0
,3153,6611,8605,11145,7895,5980,6352,2062
