Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE
179,4-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:41:00,8,1.546,0.194,0.3,0,1.4,6.2
136,1a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,13:58:00,18.1,1.477,0.081,0,0.7,17,0.5
137,1a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,13:59:00,4.7,1.085,0.23,2.4,0,0,2.3
138,1a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,13:59:00,14.7,3.245,0.221,2.2,3.2,3.9,5.3
139,1a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:00:00,10.9,2.475,0.226,5.3,0,0.4,5.2
140,2a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:03:00,0.4,0,0,0,0,0,0.4
141,2a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:03:00,3.5,0.784,0.226,0.5,1.3,0.4,1.2
142,2a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:03:00,3.8,0.981,0.26,1,0,0,2.8
143,2a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:04:00,19.6,3.973,0.203,4.7,2.8,4.4,7.7
144,3a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:05:00,10.1,2.256,0.223,3.8,2.1,2.4,1.8
145,3a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:07:00,5.7,1.203,0.211,2,0,0,3.7
146,3a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:08:00,4.8,0.824,0.173,1.6,0,0,3.2
147,3a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:08:00,9.8,2.15,0.219,4.6,1,1.1,3.2
148,4a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:09:00,30.9,6.869,0.222,3.2,4.7,8.5,14.5
149,4a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:10:00,3.7,0.848,0.228,0.6,1.4,0,1.8
150,4a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:10:00,9.2,1.518,0.164,0,0,1.3,7.9
151,4a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:11:00,5.5,1.137,0.207,0.4,0,1.7,3.3
180,1-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:42:00,8.8,2.093,0.239,3.1,2.5,1.1,2.1
181,1-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:42:00,7.9,1.583,0.201,0.7,4.3,0.3,2.6
182,1-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:43:00,7.1,1.482,0.209,2.7,1.5,0.1,2.7
183,1-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:43:00,1.9,0.3,0.157,0,0,0,1.9
184,2-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:45:00,4.7,1.046,0.223,0,0,3.7,1
