Time,Centre position X,Centre position Y
129.530,428,59
129.650,428,60
129.770,428,60
129.880,428,60
129.990,428,60
130.120,428,60
130.240,428,60
130.360,427,61
130.480,427,61
130.600,427,61
130.720,427,61
130.840,427,61
130.960,427,61
131.080,427,61
131.190,427,61
131.300,426,61
131.420,426,61
131.530,427,61
131.650,424,64
131.760,422,68
131.870,421,69
131.990,422,68
132.090,423,67
132.210,423,67
132.340,424,68
132.460,424,69
132.580,423,71
132.690,421,72
132.800,419,76
132.920,415,78
133.040,411,85
133.160,408,90
133.270,408,103
133.380,410,119
133.490,415,138
133.610,421,163
133.730,427,190
133.850,429,209
133.960,428,226
134.080,428,249
134.200,427,264
134.320,427,280
134.440,426,305
134.550,426,318
134.660,425,325
134.780,425,326
134.890,425,326
135.010,423,330
135.130,422,334
135.240,419,334
135.360,419,333
135.480,419,333
135.590,419,333
135.710,419,333
135.820,419,333
135.940,420,333
136.060,420,333
136.170,419,334
136.280,418,334
136.400,418,335
136.510,418,335
136.620,419,335
136.740,419,334
136.860,419,334
136.980,418,335
137.090,417,335
137.210,418,335
137.330,418,335
137.450,418,335
137.580,418,334
137.690,417,334
137.810,418,334
137.930,418,335
138.050,418,335
138.170,418,335
138.290,418,335
138.390,418,335
138.510,418,335
138.620,418,335
138.740,417,335
138.860,417,335
138.970,416,335
139.080,416,335
139.200,417,335
139.310,417,335
139.430,417,335
139.540,417,335
139.650,417,335
139.760,416,334
139.890,415,334
140.000,417,331
140.130,417,332
140.250,419,331
140.360,421,332
140.470,423,330
140.590,423,329
140.710,424,326
140.820,424,325
140.940,425,324
141.050,425,323
141.160,425,323
141.290,426,323
141.400,425,323
141.520,425,323
141.640,425,322
141.750,426,322
141.870,426,322
141.990,425,322
142.100,424,324
142.220,423,325
142.330,424,325
142.440,424,322
142.560,425,323
142.670,424,322
142.780,423,323
142.900,421,324
143.020,419,326
143.150,418,327
143.260,418,327
143.380,417,327
143.490,416,328
143.610,398,332
143.720,385,334
143.830,367,335
143.950,358,335
144.080,339,335
144.200,313,335
144.310,297,335
144.420,281,335
144.530,262,335
144.650,255,334
144.760,250,332
144.880,249,332
145.000,250,333
145.110,249,334
145.220,248,334
145.330,247,334
145.450,247,334
145.560,247,334
145.680,247,333
145.800,246,333
145.920,241,333
146.040,237,333
146.160,229,331
146.280,205,330
146.390,188,331
146.500,169,332
146.610,159,333
146.730,155,333
146.840,154,332
146.960,154,332
147.080,154,332
147.190,154,332
147.300,154,332
147.420,153,332
147.530,150,332
147.660,147,332
147.770,147,332
147.890,147,332
148.000,147,332
148.120,147,332
148.230,147,332
148.350,147,332
148.470,146,332
148.580,146,332
148.700,145,333
148.810,145,333
148.920,145,333
149.040,145,333
149.150,145,333
149.270,145,333
149.380,145,333
149.490,145,333
